iso,region_dev,region_ar6_6,pop,pop_density,forest_pct,gdp,damage,damage_gdp_weighted,log_damage_gdp_weighted,log_damage_gdp_weighted_std,summer_vpd,pop_forest,hvi,log_vpd,log_pdforest,log_hvi,log_vpd_std,log_pdforest_std,log_hvi_std
AFG,ldc,APC,19262847.0,29.533825491007775,0.0185278199408184,6007188510.66862,507607120.4533937,8.44999486118832,2.1341658332255036,1.5203584742772787,30.27017721571071,7051.9866413247955,0.6679999999999999,3.4101629775196516,8.861064649205828,-0.4034671052957908,1.7173862816409522,-2.379135341656768,1.6289535512233562
ALB,developed,DEV,2970017.0,108.3947810218978,0.2840288321167883,10677324852.88222,493823977.7654103,4.624978490114105,1.5314717201674342,1.1483200339263828,14.707669824792834,244378.68429405295,0.27,2.6883691145123723,12.406474286003222,-1.3093333196133918,0.31679193725190985,0.5447366813455352,-0.057418500335482354
ARG,developing,LAM,39398481.75,14.396399208532936,0.1165042442238616,369132785037.0717,977785160.9243872,0.3364885013240963,-1.0891913018806267,-0.46939509267563484,14.856472061004409,57229.08673701367,0.2534614361702127,2.6984355993334224,10.954817557509156,-1.3725435926899197,0.33632530048874676,-0.6524334429171482,-0.17509154763856408
AUS,developed,DEV,19940797.416666668,2.5953333714787257,0.172161350856569,665182198131.5216,699277108.5947068,0.1393862321113995,-1.970506550874798,-1.0134242172170609,22.56451113623983,24830.621290074032,0.1005799549549548,3.1163783683573696,10.119832899940045,-2.296802295097089,1.14731623373714,-1.3410388594996485,-1.8957032886599816
BEN,ldc,AFR,10308730.0,91.42186945725436,0.3090768002837886,12517845123.931507,511605483.0668534,4.087009209666371,1.4078134579846344,1.0719867398021738,19.05661608275755,193097.6700044124,0.48,2.9474143422151036,12.17095140207976,-0.7339691748718671,0.8194524605068133,0.3505027728196127,1.0136867002178716
BGR,developed,DEV,7523957.5,68.60281300127008,0.3324359944662081,48643741645.059975,270975493.70967805,0.4175410935938623,-0.8733723117651918,-0.3361716900556136,14.291871634195516,157971.94376988566,0.2399999999999999,2.659690958473439,11.97017272516482,-1.4271163552234791,0.26114382881789416,0.18492214423608452,-0.2766848955947843
BOL,developing,LAM,10411125.714285716,9.610565599820657,0.4875816490617293,23846120820.48902,666724142.4833282,3.924889193935205,1.3673381199913401,1.0470016249761898,11.41068197399673,26090.204553948945,0.3353662613981762,2.434549931947323,10.169315218420047,-1.0925320264888143,-0.17572778315262996,-1.3002311725301787,0.3461815409162152
BRA,developing,LAM,192634579.5,23.047541618111207,0.62972625488446,1236465114752.9907,33168816196.454765,1.806490118117476,0.5913858014092933,0.5680122269760279,10.836386511994377,60596.38023243365,0.2814999999999999,2.3829095928460715,11.011990438135314,-1.2676228310471525,-0.2759325238610109,-0.6052834085735067,0.020230275017021567
BRN,developing,APC,320152.0,60.74990512333966,0.759392789373814,4051142386.302119,3591000.0,0.0886416634513274,-2.423153289785971,-1.2928395676009568,6.4517836383655265,122318.8443419796,0.1989999999999999,1.8643566256748825,11.71438639273277,-1.6144504537551323,-1.2821510445618436,-0.026022874218824543,-0.625428433078111
BTN,ldc,APC,570990.0,14.346482412060302,0.6522793969849247,399311199.5077599,6149000.0,1.5399017126441763,0.43171859143043906,0.4694508863412165,4.089457539959813,187581.0076816592,0.592,1.4084123304662477,12.141966072058626,-0.5242486439292124,-2.1668814834783374,0.3265987943775507,1.4041051046466033
