iso,region_dev,region_ar6_6,ssp,year,esm,pop,pop_forest
AFG,ldc,APC,ssp1,2010,MM,32335944.928651817,78.48693470559962
AFG,ldc,APC,ssp1,2010,gfdl,32335944.928651813,78.48693470559965
AFG,ldc,APC,ssp1,2010,ipsl,32335944.928651813,78.48693470559965
AFG,ldc,APC,ssp1,2010,mpi,32335944.928651813,78.48693470559962
AFG,ldc,APC,ssp1,2010,mri,32335944.928651813,78.48693470559962
AFG,ldc,APC,ssp1,2010,ukesm,32335944.928651813,78.48693470559962
AFG,ldc,APC,ssp1,2020,MM,38321777.33512758,236.2577854890779
AFG,ldc,APC,ssp1,2020,gfdl,38321777.33512758,236.2577854890742
AFG,ldc,APC,ssp1,2020,ipsl,38321777.33512758,236.2577854890742
AFG,ldc,APC,ssp1,2020,mpi,38321777.33512758,236.25778548908036
AFG,ldc,APC,ssp1,2020,mri,38321777.33512758,236.25778548908036
AFG,ldc,APC,ssp1,2020,ukesm,38321777.33512758,236.25778548908036
AFG,ldc,APC,ssp1,2030,MM,49233820.99646984,127.0305958980174
AFG,ldc,APC,ssp1,2030,gfdl,49233820.99646984,147.72378449743985
AFG,ldc,APC,ssp1,2030,ipsl,49233820.99646984,148.30672939064686
AFG,ldc,APC,ssp1,2030,mpi,49233820.99646984,147.5805631965693
AFG,ldc,APC,ssp1,2030,mri,49233820.99646984,148.45129426023203
AFG,ldc,APC,ssp1,2030,ukesm,49233820.99646984,43.09060814519887
AFG,ldc,APC,ssp1,2040,MM,59270850.6215449,43.02083934014414
AFG,ldc,APC,ssp1,2040,gfdl,59270850.6215449,48.154828403451376
AFG,ldc,APC,ssp1,2040,ipsl,59270850.6215449,38.04020735738057
AFG,ldc,APC,ssp1,2040,mpi,59270850.6215449,42.93696675954367
AFG,ldc,APC,ssp1,2040,mri,59270850.6215449,48.10085540926258
AFG,ldc,APC,ssp1,2040,ukesm,59270850.6215449,37.87133877108252
AFG,ldc,APC,ssp1,2050,MM,68110340.00983405,45.69290266252586
AFG,ldc,APC,ssp1,2050,gfdl,68110340.00983405,52.9370541595202
AFG,ldc,APC,ssp1,2050,ipsl,68110340.00983405,39.253347791818214
AFG,ldc,APC,ssp1,2050,mpi,68110340.00983405,44.42551008491938
AFG,ldc,APC,ssp1,2050,mri,68110340.00983405,52.63803865633057
AFG,ldc,APC,ssp1,2050,ukesm,68110340.00983405,39.21056262004095
AFG,ldc,APC,ssp1,2060,MM,74773621.71175918,47.10687716660935
AFG,ldc,APC,ssp1,2060,gfdl,74773621.71175918,56.31571393692182
AFG,ldc,APC,ssp1,2060,ipsl,74773621.71175918,39.35010865043516
AFG,ldc,APC,ssp1,2060,mpi,74773621.71175918,44.55387069893404
AFG,ldc,APC,ssp1,2060,mri,74773621.71175918,56.00643039287765
AFG,ldc,APC,ssp1,2060,ukesm,74773621.71175918,39.30826215387807
AFG,ldc,APC,ssp1,2070,MM,79012012.5790063,47.60618956079827
AFG,ldc,APC,ssp1,2070,gfdl,79012012.5790063,58.76258533100598
AFG,ldc,APC,ssp1,2070,ipsl,79012012.5790063,38.583048837702336
AFG,ldc,APC,ssp1,2070,mpi,79012012.5790063,43.714059083917654
AFG,ldc,APC,ssp1,2070,mri,79012012.5790063,58.434264204089246
AFG,ldc,APC,ssp1,2070,ukesm,79012012.5790063,38.53699034727613
AFG,ldc,APC,ssp2,2010,MM,32337119.142016757,78.49201712598244
AFG,ldc,APC,ssp2,2010,gfdl,32337119.142016754,78.49201712598244
AFG,ldc,APC,ssp2,2010,ipsl,32337119.142016754,78.49201712598244
AFG,ldc,APC,ssp2,2010,mpi,32337119.142016754,78.49201712598244
AFG,ldc,APC,ssp2,2010,mri,32337119.142016754,78.49201712598244
AFG,ldc,APC,ssp2,2010,ukesm,32337119.142016754,78.49201712598244
AFG,ldc,APC,ssp2,2020,MM,38321625.91622036,242.02492491304278
AFG,ldc,APC,ssp2,2020,gfdl,38321625.91622036,242.02492491304344
AFG,ldc,APC,ssp2,2020,ipsl,38321625.91622036,242.02492491304344
