iso,region_dev,region_ar6_6,year,hdi,gdi,healthindex,incindex,edindex,lifexp,esch,msch,lgnic
AFG,ldc,APC,1990,0.273,,0.399,0.497,0.102,45.967,2.504,0.971,7.895
AFG,ldc,APC,1991,0.279,,0.41,0.472,0.112,46.663,2.807,1.019,7.73
AFG,ldc,APC,1992,0.287,,0.425,0.457,0.122,47.596,3.109,1.068,7.63
AFG,ldc,APC,1993,0.297,,0.484,0.412,0.132,51.466,3.412,1.116,7.33
AFG,ldc,APC,1994,0.292,,0.485,0.361,0.142,51.495,3.714,1.164,6.992
AFG,ldc,APC,1995,0.31,,0.501,0.392,0.152,52.544,4.017,1.212,7.2
AFG,ldc,APC,1996,0.319,,0.511,0.391,0.162,53.243,4.319,1.251,7.195
AFG,ldc,APC,1997,0.323,,0.517,0.379,0.171,53.634,4.622,1.29,7.115
AFG,ldc,APC,1998,0.324,,0.507,0.369,0.181,52.943,4.924,1.33,7.047
AFG,ldc,APC,1999,0.332,,0.536,0.358,0.191,54.846,5.227,1.369,6.977
AFG,ldc,APC,2000,0.335,0.515,0.543,0.346,0.201,55.298,5.529,1.408,6.893
AFG,ldc,APC,2001,0.337,0.504,0.551,0.331,0.211,55.798,5.832,1.465,6.796
AFG,ldc,APC,2002,0.362,0.549,0.561,0.384,0.221,56.454,6.134,1.523,7.145
AFG,ldc,APC,2003,0.376,0.563,0.575,0.399,0.231,57.345,6.437,1.58,7.245
AFG,ldc,APC,2004,0.392,0.522,0.584,0.397,0.26,57.944,7.394,1.637,7.233
AFG,ldc,APC,2005,0.4,0.541,0.59,0.402,0.269,58.361,7.66,1.695,7.269
AFG,ldc,APC,2006,0.409,0.56,0.595,0.411,0.279,58.684,7.927,1.777,7.326
AFG,ldc,APC,2007,0.424,0.587,0.602,0.438,0.29,59.111,8.193,1.859,7.502
AFG,ldc,APC,2008,0.43,0.594,0.613,0.433,0.3,59.852,8.46,1.941,7.469
AFG,ldc,APC,2009,0.44,0.609,0.621,0.444,0.31,60.364,8.727,2.023,7.541
AFG,ldc,APC,2010,0.448,0.627,0.628,0.448,0.32,60.851,9.003,2.105,7.57
AFG,ldc,APC,2011,0.456,0.642,0.637,0.452,0.33,61.419,9.279,2.157,7.601
AFG,ldc,APC,2012,0.466,0.649,0.645,0.462,0.34,61.923,9.577,2.209,7.662
AFG,ldc,APC,2013,0.474,0.659,0.653,0.466,0.35,62.417,9.876,2.262,7.693
AFG,ldc,APC,2014,0.479,0.63,0.655,0.465,0.36,62.545,10.174,2.314,7.686
AFG,ldc,APC,2015,0.478,0.673,0.656,0.46,0.362,62.659,10.18,2.366,7.65
AFG,ldc,APC,2016,0.481,0.682,0.664,0.458,0.365,63.136,10.186,2.464,7.639
AFG,ldc,APC,2017,0.482,0.703,0.662,0.459,0.368,63.016,10.192,2.561,7.643
AFG,ldc,APC,2018,0.483,0.71,0.663,0.457,0.372,63.081,10.198,2.659,7.628
AFG,ldc,APC,2019,0.488,0.712,0.67,0.46,0.377,63.565,10.264,2.757,7.649
AFG,ldc,APC,2020,0.483,0.689,0.655,0.452,0.38,62.575,10.264,2.855,7.6
AFG,ldc,APC,2021,0.478,0.681,0.646,0.439,0.385,61.982,10.264,2.985,7.509
AGO,ldc,AFR,1999,0.364,,0.391,0.538,0.23,45.386,4.207,3.394,8.167
AGO,ldc,AFR,2000,0.375,,0.4,0.545,0.242,46.024,4.61,3.425,8.214
AGO,ldc,AFR,2001,0.386,,0.409,0.553,0.255,46.591,5.012,3.464,8.269
AGO,ldc,AFR,2002,0.403,,0.421,0.58,0.267,47.387,5.415,3.504,8.447
AGO,ldc,AFR,2003,0.42,,0.456,0.581,0.28,49.617,5.817,3.545,8.452
AGO,ldc,AFR,2004,0.433,,0.471,0.589,0.292,50.592,6.22,3.585,8.503
AGO,ldc,AFR,2005,0.447,,0.486,0.602,0.305,51.57,6.622,3.626,8.592
AGO,ldc,AFR,2006,0.459,,0.498,0.61,0.317,52.369,7.024,3.666,8.643
AGO,ldc,AFR,2007,0.475,,0.518,0.627,0.33,53.642,7.427,3.707,8.758
AGO,ldc,AFR,2008,0.486,,0.533,0.63,0.342,54.633,7.829,3.748,8.778
AGO,ldc,AFR,2009,0.5,,0.55,0.642,0.355,55.752,8.232,3.788,8.854
AGO,ldc,AFR,2010,0.51,,0.565,0.64,0.367,56.726,8.634,3.829,8.841
AGO,ldc,AFR,2011,0.526,,0.578,0.639,0.395,57.596,9.56,3.869,8.837
AGO,ldc,AFR,2012,0.541,,0.594,0.648,0.41,58.623,10.083,3.91,8.893
AGO,ldc,AFR,2013,0.552,,0.605,0.652,0.426,59.307,10.605,3.95,8.92
AGO,ldc,AFR,2014,0.563,0.884,0.616,0.656,0.442,60.04,11.127,3.991,8.95
AGO,ldc,AFR,2015,0.582,0.893,0.625,0.655,0.48,60.655,11.65,4.704,8.943
AGO,ldc,AFR,2016,0.596,0.9,0.632,0.646,0.519,61.092,12.172,5.417,8.88
AGO,ldc,AFR,2017,0.597,0.9,0.641,0.639,0.519,61.68,12.172,5.417,8.834
AGO,ldc,AFR,2018,0.595,0.903,0.648,0.628,0.519,62.144,12.172,5.417,8.761
AGO,ldc,AFR,2019,0.595,0.902,0.653,0.621,0.519,62.448,12.172,5.417,8.713
AGO,ldc,AFR,2020,0.59,0.904,0.65,0.608,0.519,62.261,12.172,5.417,8.629
AGO,ldc,AFR,2021,0.586,0.903,0.641,0.604,0.519,61.643,12.172,5.417,8.606
ALB,developed,DEV,1990,0.647,,0.818,0.583,0.567,73.144,11.603,7.355,8.464
ALB,developed,DEV,1991,0.629,,0.821,0.531,0.572,73.378,11.764,7.353,8.119
ALB,developed,DEV,1992,0.614,,0.826,0.518,0.541,73.715,10.664,7.351,8.033
ALB,developed,DEV,1993,0.617,,0.83,0.539,0.526,73.939,10.127,7.349,8.172
ALB,developed,DEV,1994,0.624,,0.833,0.555,0.525,74.131,10.091,7.347,8.279
ALB,developed,DEV,1995,0.634,,0.836,0.578,0.527,74.362,10.166,7.345,8.43
ALB,developed,DEV,1996,0.645,,0.84,0.592,0.538,74.592,10.228,7.627,8.526
ALB,developed,DEV,1997,0.642,,0.829,0.575,0.555,73.904,10.505,7.909,8.411
ALB,developed,DEV,1998,0.657,,0.846,0.589,0.569,74.99,10.669,8.191,8.508
ALB,developed,DEV,1999,0.669,,0.849,0.608,0.579,75.183,10.685,8.472,8.63
ALB,developed,DEV,2000,0.677,0.929,0.852,0.62,0.586,75.404,10.589,8.754,8.71
ALB,developed,DEV,2001,0.684,0.933,0.856,0.634,0.591,75.639,10.684,8.824,8.802
ALB,developed,DEV,2002,0.689,0.934,0.86,0.64,0.594,75.89,10.702,8.888,8.842
ALB,developed,DEV,2003,0.696,0.936,0.864,0.649,0.601,76.142,10.905,8.953,8.901
ALB,developed,DEV,2004,0.7,0.938,0.867,0.657,0.603,76.376,10.885,9.018,8.956
ALB,developed,DEV,2005,0.711,0.94,0.871,0.666,0.62,76.621,11.419,9.083,9.012
ALB,developed,DEV,2006,0.718,0.943,0.874,0.677,0.627,76.816,11.582,9.147,9.084
ALB,developed,DEV,2007,0.73,0.947,0.885,0.686,0.639,77.549,11.964,9.212,9.148
ALB,developed,DEV,2008,0.736,0.949,0.887,0.695,0.646,77.653,12.125,9.277,9.207
ALB,developed,DEV,2009,0.741,0.951,0.889,0.698,0.656,77.781,12.264,9.452,9.226
ALB,developed,DEV,2010,0.754,0.96,0.891,0.705,0.682,77.936,13.0,9.627,9.273
ALB,developed,DEV,2011,0.766,0.964,0.894,0.711,0.709,78.092,13.748,9.802,9.311
ALB,developed,DEV,2012,0.778,0.974,0.893,0.712,0.739,78.064,14.587,10.025,9.319
ALB,developed,DEV,2013,0.785,0.968,0.894,0.717,0.754,78.123,14.926,10.196,9.355
ALB,developed,DEV,2014,0.792,0.968,0.899,0.719,0.769,78.408,15.252,10.37,9.367
ALB,developed,DEV,2015,0.795,0.984,0.902,0.723,0.77,78.644,15.076,10.547,9.394
ALB,developed,DEV,2016,0.798,0.988,0.906,0.729,0.769,78.86,14.805,10.728,9.432
ALB,developed,DEV,2017,0.802,0.991,0.908,0.733,0.775,79.047,14.816,10.911,9.457
ALB,developed,DEV,2018,0.806,0.997,0.911,0.739,0.778,79.184,14.696,11.097,9.496
ALB,developed,DEV,2019,0.81,1.002,0.912,0.741,0.788,79.283,14.819,11.286,9.509
ALB,developed,DEV,2020,0.794,1.006,0.877,0.735,0.778,76.989,14.448,11.286,9.472
ALB,developed,DEV,2021,0.796,1.007,0.869,0.748,0.778,76.463,14.448,11.286,9.556
AND,developed,DEV,2000,0.818,,0.937,0.932,0.627,80.919,10.799,9.806,10.776
AND,developed,DEV,2001,0.825,,0.949,0.939,0.63,81.686,10.799,9.892,10.824
AND,developed,DEV,2002,0.832,,0.957,0.94,0.639,82.237,11.037,9.978,10.83
AND,developed,DEV,2003,0.841,,0.983,0.946,0.639,83.921,10.943,10.065,10.869
AND,developed,DEV,2004,0.833,,0.924,0.952,0.656,80.084,10.792,10.701,10.906
AND,developed,DEV,2005,0.833,,0.95,0.955,0.637,81.76,10.826,10.09,10.925
AND,developed,DEV,2006,0.848,,0.969,0.958,0.658,82.966,11.183,10.413,10.945
AND,developed,DEV,2007,0.847,,0.964,0.957,0.659,82.659,11.183,10.442,10.94
AND,developed,DEV,2008,0.85,,0.965,0.946,0.673,82.698,11.672,10.471,10.869
AND,developed,DEV,2009,0.848,,0.965,0.937,0.674,82.752,11.672,10.5,10.807
AND,developed,DEV,2010,0.848,,0.966,0.934,0.675,82.816,11.672,10.529,10.787
AND,developed,DEV,2011,0.849,,0.968,0.935,0.676,82.898,11.672,10.558,10.796
AND,developed,DEV,2012,0.869,,0.968,0.93,0.729,82.917,13.524,10.587,10.761
AND,developed,DEV,2013,0.864,,0.968,0.927,0.719,82.934,13.139,10.616,10.745
AND,developed,DEV,2014,0.871,,0.968,0.934,0.73,82.948,13.495,10.645,10.789
AND,developed,DEV,2015,0.867,,0.969,0.939,0.717,82.953,13.14,10.573,10.819
AND,developed,DEV,2016,0.871,,0.969,0.945,0.721,82.967,13.3,10.556,10.864
AND,developed,DEV,2017,0.868,,0.969,0.947,0.714,82.98,13.046,10.556,10.871
AND,developed,DEV,2018,0.872,,0.969,0.949,0.721,82.992,13.3,10.555,10.887
AND,developed,DEV,2019,0.873,,0.969,0.952,0.721,83.004,13.3,10.555,10.905
AND,developed,DEV,2020,0.848,,0.908,0.932,0.721,79.023,13.3,10.555,10.776
AND,developed,DEV,2021,0.858,,0.929,0.942,0.721,80.368,13.3,10.555,10.843
ARE,developing,MEA,1990,0.728,,0.798,1.0,0.483,71.9,10.475,5.76,11.537
ARE,developing,MEA,1991,0.739,,0.804,1.0,0.503,72.241,10.822,6.059,11.475
ARE,developing,MEA,1992,0.742,,0.805,1.0,0.508,72.306,10.659,6.357,11.441
ARE,developing,MEA,1993,0.748,,0.808,1.0,0.519,72.521,10.688,6.656,11.435
ARE,developing,MEA,1994,0.755,,0.809,1.0,0.532,72.598,10.807,6.955,11.48
ARE,developing,MEA,1995,0.762,,0.811,1.0,0.545,72.695,10.925,7.254,11.526
ARE,developing,MEA,1996,0.767,,0.812,1.0,0.557,72.767,11.044,7.499,11.528
ARE,developing,MEA,1997,0.773,,0.814,1.0,0.568,72.937,11.163,7.745,11.548
ARE,developing,MEA,1998,0.779,,0.816,1.0,0.58,73.066,11.282,7.99,11.512
ARE,developing,MEA,1999,0.787,,0.826,1.0,0.591,73.67,11.401,8.236,11.499
ARE,developing,MEA,2000,0.796,,0.837,1.0,0.603,74.38,11.52,8.481,11.558
ARE,developing,MEA,2001,0.8,,0.841,1.0,0.609,74.636,11.638,8.584,11.548
ARE,developing,MEA,2002,0.804,,0.845,1.0,0.616,74.901,11.757,8.686,11.48
ARE,developing,MEA,2003,0.814,,0.865,1.0,0.623,76.222,11.876,8.788,11.49
ARE,developing,MEA,2004,0.818,,0.869,1.0,0.63,76.453,11.995,8.891,11.495
ARE,developing,MEA,2005,0.822,,0.872,1.0,0.636,76.683,12.114,8.993,11.434
ARE,developing,MEA,2006,0.827,,0.876,1.0,0.645,76.909,12.233,9.161,11.391
ARE,developing,MEA,2007,0.831,,0.879,1.0,0.654,77.129,12.352,9.329,11.283
ARE,developing,MEA,2008,0.834,,0.884,0.989,0.663,77.488,12.47,9.497,11.154
ARE,developing,MEA,2009,0.833,,0.892,0.964,0.672,78.003,12.589,9.665,10.986
ARE,developing,MEA,2010,0.835,,0.897,0.953,0.681,78.334,12.708,9.834,10.913
ARE,developing,MEA,2011,0.84,0.919,0.9,0.956,0.69,78.517,12.827,10.002,10.936
ARE,developing,MEA,2012,0.846,0.919,0.903,0.96,0.699,78.716,12.946,10.17,10.959
ARE,developing,MEA,2013,0.852,0.92,0.905,0.966,0.708,78.853,13.065,10.338,11.002
ARE,developing,MEA,2014,0.859,0.921,0.908,0.973,0.716,79.044,13.184,10.506,11.044
ARE,developing,MEA,2015,0.865,0.922,0.911,0.98,0.725,79.223,13.302,10.674,11.091
ARE,developing,MEA,2016,0.87,0.921,0.913,0.983,0.734,79.335,13.421,10.843,11.111
ARE,developing,MEA,2017,0.897,0.945,0.915,0.984,0.8,79.504,14.344,12.055,11.122
ARE,developing,MEA,2018,0.909,0.948,0.917,0.983,0.833,79.627,15.019,12.484,11.115
ARE,developing,MEA,2019,0.92,0.955,0.919,0.987,0.859,79.726,15.694,12.694,11.136
ARE,developing,MEA,2020,0.912,0.952,0.907,0.974,0.86,78.946,15.718,12.694,11.051
ARE,developing,MEA,2021,0.911,0.953,0.903,0.973,0.86,78.71,15.718,12.694,11.044
ARG,developing,LAM,1990,0.723,,0.797,0.742,0.64,71.784,13.281,8.126,9.518
ARG,developing,LAM,1991,0.73,,0.805,0.755,0.641,72.319,13.236,8.193,9.603
ARG,developing,LAM,1992,0.735,,0.807,0.766,0.642,72.43,13.191,8.26,9.677
ARG,developing,LAM,1993,0.739,,0.809,0.777,0.643,72.565,13.145,8.328,9.749
ARG,developing,LAM,1994,0.744,,0.818,0.783,0.644,73.173,13.1,8.395,9.791
ARG,developing,LAM,1995,0.745,,0.817,0.777,0.652,73.133,13.309,8.463,9.746
ARG,developing,LAM,1996,0.751,,0.82,0.783,0.66,73.307,13.518,8.53,9.786
ARG,developing,LAM,1997,0.756,,0.817,0.792,0.668,73.09,13.727,8.597,9.851
ARG,developing,LAM,1998,0.762,,0.823,0.796,0.676,73.474,13.936,8.665,9.874
ARG,developing,LAM,1999,0.773,,0.826,0.789,0.708,73.722,14.994,8.732,9.827
ARG,developing,LAM,2000,0.779,0.989,0.83,0.786,0.725,73.926,15.536,8.8,9.808
ARG,developing,LAM,2001,0.784,0.99,0.834,0.777,0.745,74.186,16.17,8.867,9.75
ARG,developing,LAM,2002,0.785,0.989,0.837,0.754,0.765,74.408,16.28,9.391,9.597
ARG,developing,LAM,2003,0.793,0.987,0.832,0.767,0.78,74.08,16.176,9.915,9.684
ARG,developing,LAM,2004,0.798,0.988,0.844,0.767,0.784,74.855,16.226,10.007,9.684
ARG,developing,LAM,2005,0.802,0.99,0.848,0.778,0.78,75.139,15.968,10.099,9.757
ARG,developing,LAM,2006,0.814,0.994,0.853,0.801,0.788,75.433,16.152,10.191,9.91
ARG,developing,LAM,2007,0.817,0.997,0.846,0.814,0.793,75.006,16.173,10.299,9.993
ARG,developing,LAM,2008,0.825,0.995,0.856,0.819,0.801,75.641,16.342,10.406,10.024
ARG,developing,LAM,2009,0.827,0.994,0.861,0.807,0.815,75.936,16.674,10.543,9.947
ARG,developing,LAM,2010,0.834,0.995,0.857,0.82,0.825,75.721,16.968,10.6,10.032
ARG,developing,LAM,2011,0.841,0.991,0.863,0.828,0.834,76.124,17.174,10.7,10.083
ARG,developing,LAM,2012,0.843,0.998,0.869,0.825,0.835,76.467,17.107,10.785,10.067
ARG,developing,LAM,2013,0.845,0.997,0.869,0.827,0.838,76.491,17.092,10.895,10.082
ARG,developing,LAM,2014,0.846,0.995,0.873,0.822,0.843,76.755,17.27,10.909,10.047
ARG,developing,LAM,2015,0.848,1.0,0.873,0.825,0.848,76.76,17.41,10.918,10.065
ARG,developing,LAM,2016,0.847,0.996,0.866,0.819,0.855,76.308,17.669,10.928,10.03
ARG,developing,LAM,2017,0.851,0.993,0.874,0.821,0.858,76.833,17.654,11.016,10.043
ARG,developing,LAM,2018,0.85,1.0,0.877,0.814,0.861,76.999,17.656,11.105,9.995
ARG,developing,LAM,2019,0.852,1.0,0.881,0.809,0.868,77.285,17.875,11.147,9.962
ARG,developing,LAM,2020,0.84,0.999,0.86,0.794,0.868,75.892,17.875,11.147,9.862
ARG,developing,LAM,2021,0.842,0.997,0.852,0.807,0.868,75.39,17.875,11.147,9.949
ARM,developing,EEA,1990,0.656,,0.751,0.597,0.63,68.821,10.927,9.782,8.558
ARM,developing,EEA,1991,0.649,,0.748,0.579,0.63,68.643,10.845,9.852,8.441
ARM,developing,EEA,1992,0.618,,0.748,0.5,0.63,68.627,10.764,9.921,7.916
ARM,developing,EEA,1993,0.616,,0.751,0.49,0.636,68.842,10.921,9.991,7.848
ARM,developing,EEA,1994,0.62,,0.755,0.501,0.63,69.073,10.614,10.061,7.92
ARM,developing,EEA,1995,0.627,,0.759,0.519,0.626,69.311,10.396,10.131,8.038
ARM,developing,EEA,1996,0.632,,0.766,0.53,0.623,69.783,10.178,10.203,8.112
ARM,developing,EEA,1997,0.641,,0.768,0.541,0.635,69.91,10.537,10.275,8.188
ARM,developing,EEA,1998,0.654,,0.777,0.549,0.656,70.514,11.184,10.347,8.237
ARM,developing,EEA,1999,0.657,,0.773,0.554,0.663,70.257,11.372,10.418,8.275
ARM,developing,EEA,2000,0.662,0.944,0.779,0.564,0.66,70.624,11.188,10.49,8.338
ARM,developing,EEA,2001,0.666,0.935,0.784,0.578,0.653,70.932,10.921,10.488,8.434
ARM,developing,EEA,2002,0.676,0.927,0.785,0.599,0.656,71.018,10.956,10.559,8.569
ARM,developing,EEA,2003,0.686,0.935,0.791,0.619,0.66,71.436,10.992,10.629,8.705
ARM,developing,EEA,2004,0.694,0.953,0.791,0.636,0.663,71.421,11.028,10.7,8.818
ARM,developing,EEA,2005,0.707,0.964,0.797,0.657,0.675,71.792,11.385,10.771,8.955
ARM,developing,EEA,2006,0.721,0.968,0.8,0.678,0.693,71.987,11.925,10.841,9.092
ARM,developing,EEA,2007,0.738,0.97,0.805,0.7,0.714,72.327,12.616,10.912,9.236
ARM,developing,EEA,2008,0.742,0.97,0.806,0.712,0.711,72.399,12.411,10.983,9.317
ARM,developing,EEA,2009,0.741,0.972,0.813,0.687,0.728,72.813,12.957,11.053,9.152
ARM,developing,EEA,2010,0.746,0.974,0.818,0.692,0.734,73.16,13.086,11.124,9.185
ARM,developing,EEA,2011,0.75,0.98,0.82,0.697,0.738,73.305,13.122,11.195,9.218
ARM,developing,EEA,2012,0.755,0.977,0.822,0.708,0.741,73.454,13.116,11.289,9.29
ARM,developing,EEA,2013,0.76,0.982,0.826,0.715,0.744,73.676,13.11,11.383,9.337
ARM,developing,EEA,2014,0.764,0.985,0.832,0.717,0.747,74.058,13.104,11.478,9.352
ARM,developing,EEA,2015,0.766,0.986,0.837,0.72,0.746,74.436,12.968,11.572,9.374
ARM,developing,EEA,2016,0.765,0.986,0.841,0.718,0.74,74.664,13.002,11.38,9.356
ARM,developing,EEA,2017,0.768,0.99,0.845,0.73,0.735,74.906,13.035,11.188,9.437
ARM,developing,EEA,2018,0.771,0.987,0.847,0.734,0.738,75.065,13.069,11.235,9.468
ARM,developing,EEA,2019,0.778,0.993,0.853,0.745,0.74,75.439,13.106,11.283,9.536
ARM,developing,EEA,2020,0.757,0.995,0.803,0.729,0.742,72.173,13.117,11.33,9.43
ARM,developing,EEA,2021,0.759,1.001,0.801,0.737,0.742,72.043,13.117,11.33,9.485
ATG,developing,LAM,2005,,,0.859,0.786,,75.825,,9.118,9.81
ATG,developing,LAM,2006,,,0.858,0.802,,75.765,,9.17,9.916
ATG,developing,LAM,2007,0.802,,0.864,0.813,0.734,76.131,15.362,9.221,9.989
ATG,developing,LAM,2008,0.801,,0.868,0.811,0.731,76.41,15.198,9.273,9.976
ATG,developing,LAM,2009,0.795,,0.872,0.79,0.728,76.669,15.035,9.325,9.836
ATG,developing,LAM,2010,0.79,,0.874,0.778,0.724,76.82,14.983,9.236,9.755
ATG,developing,LAM,2011,0.783,,0.879,0.772,0.708,77.104,14.693,8.99,9.714
ATG,developing,LAM,2012,0.787,,0.882,0.774,0.714,77.35,14.858,9.035,9.726
ATG,developing,LAM,2013,0.787,,0.886,0.773,0.713,77.583,14.759,9.08,9.725
ATG,developing,LAM,2014,0.789,,0.89,0.777,0.711,77.858,14.662,9.126,9.748
ATG,developing,LAM,2015,0.791,,0.891,0.782,0.71,77.913,14.565,9.171,9.78
ATG,developing,LAM,2016,0.794,,0.895,0.788,0.709,78.152,14.469,9.217,9.821
ATG,developing,LAM,2017,0.795,,0.896,0.791,0.708,78.268,14.374,9.263,9.84
ATG,developing,LAM,2018,0.798,,0.9,0.799,0.706,78.511,14.279,9.294,9.896
ATG,developing,LAM,2019,0.8,,0.903,0.805,0.704,78.691,14.185,9.294,9.933
ATG,developing,LAM,2020,0.788,,0.905,0.769,0.704,78.841,14.185,9.294,9.697
ATG,developing,LAM,2021,0.788,,0.9,0.774,0.704,78.497,14.185,9.294,9.729
AUS,developed,DEV,1990,0.865,,0.878,0.857,0.861,77.044,17.535,11.228,10.277
AUS,developed,DEV,1991,0.867,,0.884,0.856,0.861,77.483,17.506,11.25,10.27
AUS,developed,DEV,1992,0.869,,0.884,0.862,0.861,77.477,17.476,11.272,10.309
AUS,developed,DEV,1993,0.873,,0.892,0.867,0.861,78.01,17.447,11.294,10.342
AUS,developed,DEV,1994,0.873,,0.89,0.869,0.861,77.856,17.417,11.316,10.356
AUS,developed,DEV,1995,0.882,,0.896,0.873,0.878,78.262,18.0,11.338,10.382
AUS,developed,DEV,1996,0.884,,0.898,0.877,0.878,78.349,18.0,11.328,10.412
AUS,developed,DEV,1997,0.887,,0.902,0.883,0.877,78.632,18.0,11.318,10.448
AUS,developed,DEV,1998,0.891,,0.908,0.889,0.877,79.028,18.0,11.308,10.487
AUS,developed,DEV,1999,0.894,,0.912,0.893,0.877,79.286,18.0,11.298,10.517
AUS,developed,DEV,2000,0.896,0.966,0.917,0.894,0.876,79.631,18.0,11.288,10.527
AUS,developed,DEV,2001,0.9,0.966,0.923,0.899,0.878,80.017,18.0,11.344,10.556
AUS,developed,DEV,2002,0.902,0.966,0.924,0.902,0.88,80.064,18.0,11.4,10.574
AUS,developed,DEV,2003,0.906,0.967,0.93,0.906,0.882,80.455,18.0,11.456,10.602
AUS,developed,DEV,2004,0.908,0.967,0.935,0.907,0.884,80.751,18.0,11.512,10.612
AUS,developed,DEV,2005,0.911,0.967,0.94,0.909,0.885,81.113,18.0,11.548,10.622
AUS,developed,DEV,2006,0.914,0.968,0.943,0.911,0.888,81.282,18.0,11.645,10.637
AUS,developed,DEV,2007,0.915,0.969,0.942,0.914,0.89,81.26,18.0,11.712,10.658
AUS,developed,DEV,2008,0.919,0.97,0.946,0.915,0.898,81.459,18.0,11.938,10.664
AUS,developed,DEV,2009,0.921,0.97,0.95,0.915,0.9,81.766,18.0,11.987,10.661
AUS,developed,DEV,2010,0.923,0.962,0.955,0.915,0.901,82.055,18.0,12.034,10.665
AUS,developed,DEV,2011,0.926,0.964,0.956,0.92,0.904,82.134,18.0,12.116,10.697
AUS,developed,DEV,2012,0.93,0.96,0.959,0.922,0.91,82.346,18.0,12.296,10.712
AUS,developed,DEV,2013,0.929,0.961,0.963,0.924,0.901,82.604,18.0,12.019,10.72
AUS,developed,DEV,2014,0.931,0.972,0.963,0.926,0.906,82.568,18.0,12.167,10.733
AUS,developed,DEV,2015,0.933,0.963,0.964,0.927,0.908,82.655,18.0,12.246,10.743
AUS,developed,DEV,2016,0.935,0.974,0.967,0.928,0.912,82.871,18.0,12.352,10.748
AUS,developed,DEV,2017,0.937,0.966,0.969,0.93,0.914,83.001,18.0,12.422,10.76
AUS,developed,DEV,2018,0.941,0.976,0.975,0.931,0.918,83.387,18.0,12.554,10.768
AUS,developed,DEV,2019,0.941,0.969,0.971,0.93,0.922,83.11,18.0,12.657,10.765
AUS,developed,DEV,2020,0.947,0.966,0.99,0.93,0.924,84.324,18.0,12.727,10.76
AUS,developed,DEV,2021,0.951,0.968,0.993,0.936,0.924,84.527,18.0,12.727,10.804
AUT,developed,DEV,1990,0.825,,0.858,0.901,0.727,75.74,13.933,10.2,10.569
AUT,developed,DEV,1991,0.829,,0.858,0.904,0.735,75.793,14.124,10.29,10.591
AUT,developed,DEV,1992,0.835,,0.861,0.907,0.747,75.993,14.421,10.381,10.608
AUT,developed,DEV,1993,0.84,,0.865,0.906,0.755,76.226,14.624,10.471,10.605
AUT,developed,DEV,1994,0.845,,0.87,0.909,0.762,76.543,14.756,10.562,10.621
AUT,developed,DEV,1995,0.849,,0.873,0.911,0.768,76.777,14.87,10.653,10.636
AUT,developed,DEV,1996,0.853,,0.877,0.914,0.773,77.027,14.922,10.743,10.657
AUT,developed,DEV,1997,0.857,,0.884,0.916,0.778,77.429,15.001,10.834,10.672
AUT,developed,DEV,1998,0.863,,0.889,0.921,0.785,77.783,15.136,10.925,10.704
AUT,developed,DEV,1999,0.866,,0.892,0.924,0.789,77.956,15.198,11.015,10.724
AUT,developed,DEV,2000,0.871,0.957,0.896,0.93,0.794,78.236,15.26,11.106,10.759
AUT,developed,DEV,2001,0.876,0.959,0.903,0.93,0.799,78.719,15.322,11.196,10.762
AUT,developed,DEV,2002,0.879,0.96,0.905,0.933,0.804,78.847,15.384,11.287,10.783
AUT,developed,DEV,2003,0.881,0.96,0.905,0.934,0.808,78.85,15.446,11.378,10.789
AUT,developed,DEV,2004,0.886,0.962,0.913,0.937,0.813,79.363,15.508,11.468,10.811
AUT,developed,DEV,2005,0.889,0.963,0.916,0.939,0.818,79.521,15.57,11.559,10.822
AUT,developed,DEV,2006,0.893,0.963,0.923,0.944,0.819,79.966,15.632,11.545,10.854
AUT,developed,DEV,2007,0.896,0.962,0.926,0.948,0.82,80.167,15.694,11.531,10.882
AUT,developed,DEV,2008,0.898,0.96,0.929,0.95,0.82,80.364,15.77,11.468,10.897
AUT,developed,DEV,2009,0.898,0.956,0.926,0.944,0.827,80.207,15.758,11.674,10.854
AUT,developed,DEV,2010,0.902,0.964,0.93,0.946,0.835,80.464,15.994,11.715,10.869
AUT,developed,DEV,2011,0.905,0.955,0.936,0.948,0.836,80.829,16.027,11.711,10.88
AUT,developed,DEV,2012,0.906,0.955,0.936,0.947,0.839,80.841,16.085,11.752,10.876
AUT,developed,DEV,2013,0.905,0.963,0.94,0.946,0.833,81.078,15.848,11.788,10.871
AUT,developed,DEV,2014,0.909,0.972,0.944,0.947,0.841,81.39,15.856,12.014,10.873
AUT,developed,DEV,2015,0.91,0.964,0.941,0.946,0.846,81.159,15.951,12.077,10.868
AUT,developed,DEV,2016,0.915,0.964,0.948,0.949,0.851,81.593,16.081,12.115,10.89
AUT,developed,DEV,2017,0.916,0.964,0.948,0.949,0.852,81.639,16.092,12.159,10.891
AUT,developed,DEV,2018,0.917,0.966,0.949,0.952,0.853,81.686,16.067,12.208,10.908
AUT,developed,DEV,2019,0.919,0.968,0.952,0.954,0.853,81.908,16.008,12.257,10.921
AUT,developed,DEV,2020,0.913,0.979,0.946,0.943,0.853,81.504,16.008,12.257,10.851
AUT,developed,DEV,2021,0.916,0.98,0.947,0.949,0.853,81.58,16.008,12.257,10.89
AZE,developing,EEA,1995,0.59,,0.651,0.513,0.615,62.305,10.236,9.921,8.001
