iso,region_dev,region_ar6_6,ssp,year,hdi
ARM,developing,EEA,ssp2,2040,0.767028936
ARM,developing,EEA,ssp3,2040,0.7518324
ARM,developing,EEA,ssp4,2040,0.740443631
ARM,developing,EEA,ssp5,2040,0.786889333
ARM,developing,EEA,ssp1,2045,0.78554903
ARM,developing,EEA,ssp2,2045,0.769657816
ARM,developing,EEA,ssp3,2045,0.753982372
ARM,developing,EEA,ssp4,2045,0.742929926
ARM,developing,EEA,ssp5,2045,0.790980348
ARM,developing,EEA,ssp1,2050,0.78661074
ARM,developing,EEA,ssp2,2050,0.771516755
ARM,developing,EEA,ssp3,2050,0.755303686
ARM,developing,EEA,ssp4,2050,0.745056371
ARM,developing,EEA,ssp5,2050,0.788153425
ARM,developing,EEA,ssp1,2055,0.786374235
ARM,developing,EEA,ssp2,2055,0.771995499
ARM,developing,EEA,ssp3,2055,0.755738844
ARM,developing,EEA,ssp4,2055,0.747059077
ARM,developing,EEA,ssp5,2055,0.784848498
ARM,developing,EEA,ssp1,2060,0.78444094
ARM,developing,EEA,ssp2,2060,0.772444691
ARM,developing,EEA,ssp3,2060,0.756665459
ARM,developing,EEA,ssp4,2060,0.747573981
ARM,developing,EEA,ssp5,2060,0.783470558
ARM,developing,EEA,ssp1,2065,0.78373451
ARM,developing,EEA,ssp2,2065,0.773404946
ARM,developing,EEA,ssp3,2065,0.757912607
ARM,developing,EEA,ssp4,2065,0.748469959
ARM,developing,EEA,ssp5,2065,0.783604513
ARM,developing,EEA,ssp1,2070,0.783855395
ARM,developing,EEA,ssp2,2070,0.774892637
ARM,developing,EEA,ssp3,2070,0.759646782
ARM,developing,EEA,ssp4,2070,0.74971934
ARM,developing,EEA,ssp5,2070,0.784435763
AUS,developed,DEV,ssp1,2030,0.90618229
AUS,developed,DEV,ssp2,2030,0.903176996
AUS,developed,DEV,ssp3,2030,0.871594588
AUS,developed,DEV,ssp4,2030,0.881720659
AUS,developed,DEV,ssp5,2030,0.908162495
AUS,developed,DEV,ssp1,2035,0.913414831
AUS,developed,DEV,ssp2,2035,0.910113316
AUS,developed,DEV,ssp3,2035,0.875170833
AUS,developed,DEV,ssp4,2035,0.887615384
AUS,developed,DEV,ssp5,2035,0.916584532
AUS,developed,DEV,ssp1,2040,0.919371877
AUS,developed,DEV,ssp2,2040,0.916002758
AUS,developed,DEV,ssp3,2040,0.878809992
AUS,developed,DEV,ssp4,2040,0.89242169
AUS,developed,DEV,ssp5,2040,0.923793973
AUS,developed,DEV,ssp1,2045,0.924272468
AUS,developed,DEV,ssp2,2045,0.919716353
AUS,developed,DEV,ssp3,2045,0.88242533
AUS,developed,DEV,ssp4,2045,0.896502039
AUS,developed,DEV,ssp5,2045,0.928948056
AUS,developed,DEV,ssp1,2050,0.926088685
AUS,developed,DEV,ssp2,2050,0.922274353
AUS,developed,DEV,ssp3,2050,0.885058705
AUS,developed,DEV,ssp4,2050,0.899964702
AUS,developed,DEV,ssp5,2050,0.925275208
AUS,developed,DEV,ssp1,2055,0.92539063
