iso,region_dev,region_ar6_6,ssp,year,esm,pop,pop_forest
AFG,ldc,APC,ssp1,2010,MM,32335944.928651817,7050.035378183622
AFG,ldc,APC,ssp1,2010,gfdl,32335944.928651813,7050.035378183622
AFG,ldc,APC,ssp1,2010,ipsl,32335944.928651813,7050.035378183622
AFG,ldc,APC,ssp1,2010,mpi,32335944.928651813,7050.035378183622
AFG,ldc,APC,ssp1,2010,mri,32335944.928651813,7050.035378183622
AFG,ldc,APC,ssp1,2010,ukesm,32335944.928651813,7050.035378183622
AFG,ldc,APC,ssp1,2020,MM,38321777.33512758,7148.450873890263
AFG,ldc,APC,ssp1,2020,gfdl,38321777.33512758,7148.450873890262
AFG,ldc,APC,ssp1,2020,ipsl,38321777.33512758,7148.450873890262
AFG,ldc,APC,ssp1,2020,mpi,38321777.33512758,7148.450873890262
AFG,ldc,APC,ssp1,2020,mri,38321777.33512758,7148.450873890262
AFG,ldc,APC,ssp1,2020,ukesm,38321777.33512758,7148.450873890262
AFG,ldc,APC,ssp1,2030,MM,49233820.99646984,7380.670610545977
AFG,ldc,APC,ssp1,2030,gfdl,49233820.99646984,7594.022561285069
AFG,ldc,APC,ssp1,2030,ipsl,49233820.99646984,7594.022561285069
AFG,ldc,APC,ssp1,2030,mpi,49233820.99646984,7594.022561285069
AFG,ldc,APC,ssp1,2030,mri,49233820.99646984,7594.022561285069
AFG,ldc,APC,ssp1,2030,ukesm,49233820.99646984,6527.262807589607
AFG,ldc,APC,ssp1,2040,MM,59270850.6215449,6477.249091895386
AFG,ldc,APC,ssp1,2040,gfdl,59270850.6215449,7243.309520759733
AFG,ldc,APC,ssp1,2040,ipsl,59270850.6215449,5742.703025854083
AFG,ldc,APC,ssp1,2040,mpi,59270850.6215449,6414.220366249298
AFG,ldc,APC,ssp1,2040,mri,59270850.6215449,7243.309520759733
AFG,ldc,APC,ssp1,2040,ukesm,59270850.6215449,5742.703025854083
AFG,ldc,APC,ssp1,2050,MM,68110340.00983405,6829.946576226663
AFG,ldc,APC,ssp1,2050,gfdl,68110340.00983405,7810.29635515914
AFG,ldc,APC,ssp1,2050,ipsl,68110340.00983405,5898.35479977254
AFG,ldc,APC,ssp1,2050,mpi,68110340.00983405,6589.016573095406
AFG,ldc,APC,ssp1,2050,mri,68110340.00983405,7953.710353333684
AFG,ldc,APC,ssp1,2050,ukesm,68110340.00983405,5898.35479977254
AFG,ldc,APC,ssp1,2060,MM,74773621.71175918,6943.775559973506
AFG,ldc,APC,ssp1,2060,gfdl,74773621.71175918,7870.673630054247
AFG,ldc,APC,ssp1,2060,ipsl,74773621.71175918,5887.794960666485
AFG,ldc,APC,ssp1,2060,mpi,74773621.71175918,6577.347638634547
AFG,ldc,APC,ssp1,2060,mri,74773621.71175918,8495.266609845768
AFG,ldc,APC,ssp1,2060,ukesm,74773621.71175918,5887.794960666485
AFG,ldc,APC,ssp1,2070,MM,79012012.5790063,6927.824105273849
AFG,ldc,APC,ssp1,2070,gfdl,79012012.5790063,7777.018868293175
AFG,ldc,APC,ssp1,2070,ipsl,79012012.5790063,5769.380041654859
AFG,ldc,APC,ssp1,2070,mpi,79012012.5790063,6442.793253020644
AFG,ldc,APC,ssp1,2070,mri,79012012.5790063,8880.548321745704
AFG,ldc,APC,ssp1,2070,ukesm,79012012.5790063,5769.380041654859
AFG,ldc,APC,ssp2,2010,MM,32337119.142016757,7050.543392570826
AFG,ldc,APC,ssp2,2010,gfdl,32337119.142016754,7050.543392570827
AFG,ldc,APC,ssp2,2010,ipsl,32337119.142016754,7050.543392570827
AFG,ldc,APC,ssp2,2010,mpi,32337119.142016754,7050.543392570827
AFG,ldc,APC,ssp2,2010,mri,32337119.142016754,7050.543392570827
AFG,ldc,APC,ssp2,2010,ukesm,32337119.142016754,7050.543392570827
AFG,ldc,APC,ssp2,2020,MM,38321625.91622036,7342.022363112897
AFG,ldc,APC,ssp2,2020,gfdl,38321625.91622036,7342.022363112897
AFG,ldc,APC,ssp2,2020,ipsl,38321625.91622036,7342.022363112897
AFG,ldc,APC,ssp2,2020,mpi,38321625.91622036,7342.022363112897
AFG,ldc,APC,ssp2,2020,mri,38321625.91622036,7342.022363112897
AFG,ldc,APC,ssp2,2020,ukesm,38321625.91622036,7342.022363112897
AFG,ldc,APC,ssp2,2030,MM,50397029.8548774,7986.356665106623
AFG,ldc,APC,ssp2,2030,gfdl,50397029.8548774,7986.356665106623
AFG,ldc,APC,ssp2,2030,ipsl,50397029.8548774,7986.356665106623
AFG,ldc,APC,ssp2,2030,mpi,50397029.8548774,7986.356665106623
AFG,ldc,APC,ssp2,2030,mri,50397029.8548774,7986.356665106623
AFG,ldc,APC,ssp2,2030,ukesm,50397029.8548774,7986.356665106623
AFG,ldc,APC,ssp2,2040,MM,63193206.48190378,7093.785294206532
AFG,ldc,APC,ssp2,2040,gfdl,63193206.48190378,7526.335902035052
AFG,ldc,APC,ssp2,2040,ipsl,63193206.48190378,6582.70836102347
AFG,ldc,APC,ssp2,2040,mpi,63193206.48190378,7243.309520759733
AFG,ldc,APC,ssp2,2040,mri,63193206.48190378,7533.864326190938
AFG,ldc,APC,ssp2,2040,ukesm,63193206.48190378,6582.70836102347
AFG,ldc,APC,ssp2,2050,MM,75613198.25964025,7834.160512392051
AFG,ldc,APC,ssp2,2050,gfdl,75613198.25964025,7953.710353333684
AFG,ldc,APC,ssp2,2050,ipsl,75613198.25964025,7230.997005821048
AFG,ldc,APC,ssp2,2050,mpi,75613198.25964025,7953.710353333684
AFG,ldc,APC,ssp2,2050,mri,75613198.25964025,8801.387843650797
AFG,ldc,APC,ssp2,2050,ukesm,75613198.25964025,7230.997005821048
AFG,ldc,APC,ssp2,2060,MM,86709025.18862242,8301.887121287325
AFG,ldc,APC,ssp2,2060,gfdl,86709025.18862242,8495.266609845768
AFG,ldc,APC,ssp2,2060,ipsl,86709025.18862242,7729.22600538633
AFG,ldc,APC,ssp2,2060,mpi,86709025.18862242,8495.266609845768
AFG,ldc,APC,ssp2,2060,mri,86709025.18862242,9060.450375972436
AFG,ldc,APC,ssp2,2060,ukesm,86709025.18862242,7729.22600538633
AFG,ldc,APC,ssp2,2070,MM,95719474.2870882,8583.44599132831
AFG,ldc,APC,ssp2,2070,gfdl,95719474.2870882,8880.548321745704
AFG,ldc,APC,ssp2,2070,ipsl,95719474.2870882,8088.23750025164
AFG,ldc,APC,ssp2,2070,mpi,95719474.2870882,8880.548321745704
AFG,ldc,APC,ssp2,2070,mri,95719474.2870882,8979.658312646867
AFG,ldc,APC,ssp2,2070,ukesm,95719474.2870882,8088.23750025164
AFG,ldc,APC,ssp3,2010,MM,32336818.604294457,7051.986641324796
AFG,ldc,APC,ssp3,2010,gfdl,32336818.604294457,7051.9866413247955
AFG,ldc,APC,ssp3,2010,ipsl,32336818.604294457,7051.9866413247955
AFG,ldc,APC,ssp3,2010,mpi,32336818.604294457,7051.9866413247955
AFG,ldc,APC,ssp3,2010,mri,32336818.604294457,7051.9866413247955
AFG,ldc,APC,ssp3,2010,ukesm,32336818.604294457,7051.9866413247955
AFG,ldc,APC,ssp3,2020,MM,38321482.42263519,7561.432435504353
AFG,ldc,APC,ssp3,2020,gfdl,38321482.42263519,7561.432435504353
AFG,ldc,APC,ssp3,2020,ipsl,38321482.42263519,7561.432435504353
AFG,ldc,APC,ssp3,2020,mpi,38321482.42263519,7561.432435504353
AFG,ldc,APC,ssp3,2020,mri,38321482.42263519,7561.432435504353
AFG,ldc,APC,ssp3,2020,ukesm,38321482.42263519,7561.432435504353
AFG,ldc,APC,ssp3,2030,MM,51238605.20854356,8287.342039700376
AFG,ldc,APC,ssp3,2030,gfdl,51238605.20854356,8287.342039700376
AFG,ldc,APC,ssp3,2030,ipsl,51238605.20854356,8287.342039700376
AFG,ldc,APC,ssp3,2030,mpi,51238605.20854356,8287.342039700376
AFG,ldc,APC,ssp3,2030,mri,51238605.20854356,8287.342039700376
AFG,ldc,APC,ssp3,2030,ukesm,51238605.20854356,8287.342039700376
AFG,ldc,APC,ssp3,2040,MM,66517349.36659114,8209.663416093863
AFG,ldc,APC,ssp3,2040,gfdl,66517349.36659114,8303.575858435968
