"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Agricultural land (sq. km)","AG.LND.AGRI.K2","","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","",
"Africa Eastern and Southern","AFE","Agricultural land (sq. km)","AG.LND.AGRI.K2","","6170420","6167940","6173000","6170130","6167390","6170970","6172710","6177330","6184480","6194850","6210660","6215230","6217600","6219320","6223940","6223480","6226610","6238150","6234230","6233230","6245830","6248260","6252220","6253050","6294600","6331860","6355170","6390390","6418960","6412859.9","6425829.9","6452049.9","6310879.9","6338889.9","6365919.9","6384059.9","6405880","6426120","6453940","6476930","6491225.86","6504191.72","6546767.58","6569764.44","6588991.3","6613485.66","6636990.02","6652183.38","6690576.74","6717045.033","6747104.88","6789159.825","6806324.255","6825399.195","6836525.8","6851382.225","6868999.45","6882362.22","6891016.22","6898158.22","6900855.82","",
"Afghanistan","AFG","Agricultural land (sq. km)","AG.LND.AGRI.K2","","377500","378000","378500","379050","379100","379550","379790","379800","379960","380060","380360","380480","380492","380503","380503","380500","380500","380500","380490","380490","380530","380540","380540","380540","380540","380540","380450","380400","380400","380400","380300","380300","379340","378130","377630","377570","377950","378680","377640","377940","377950","377900","378840","379280","379170","379100","379140","379160","379160","379170","379150","379140","379100","379100","379100","379100","379100","380100","380100","383130","383130","",
"Africa Western and Central","AFW","Agricultural land (sq. km)","AG.LND.AGRI.K2","","2975436.6","2980116.6","2983536.6","2987026.6","2991566.6","2993116.6","2993716.6","3004636.6","3007106.6","2999926.6","3002146.6","3005086.6","3006496.6","3002996.6","3010276.6","3018236.6","3019786.6","3025366.6","3034156.6","3045286.6","3044576.6","3051706.6","3061356.6","3068996.6","3078036.6","3088186.6","3088936.6","3103236.6","3107176.6","3132916.6","3150398.62","3175829.242","3193891.544","3229653.962","3266784.472","3287117.638","3305573.2","3309197.083","3329976.534","3339826.063","3361963.178","3373251.098","3390441.291","3384053.939","3446531.825","3449227.267","3465610.409","3479022.345","3491761.224","3505786.426","3514583.808","3529813.266","3558354.354","3566587.601","3584392.737","3593613.009","3599340.982","3618614.614","3627121.603","3633870.46","3641770.46","",
"Angola","AGO","Agricultural land (sq. km)","AG.LND.AGRI.K2","","451770","451850","451820","451900","451870","451950","452020","452100","452270","452050","451820","451600","451370","451150","450930","448700","448480","448250","447930","447650","447280","447050","446780","446500","446280","445450","445230","445010","444780","444560","444830","445110","445100","445100","444900","444470","444500","445130","445670","445230","444150","444380","444990","443100","441830","441370","442450","441950","446300","448500","453160","453030","454880","456740","457890","458240","457720","457920","458770","458920","458970","",
"Albania","ALB","Agricultural land (sq. km)","AG.LND.AGRI.K2","","12320","12320","12330","12300","12370","12400","12440","12400","12350","12300","12000","11740","11460","11220","10800","10750","11090","11140","11170","11180","11160","11140","11100","11130","11120","11110","11110","11170","11100","11210","11270","11270","11260","11260","11270","11310","11350","11390","11450","11440","11390","11400","11210","11220","10770","11200","11190","11810","12013","12013","12010","12013","11873","11742.9","11743","11817","11742.81","11740.81","11740","11655.55","11363.3","",
"Andorra","AND","Agricultural land (sq. km)","AG.LND.AGRI.K2","","260","260","260","260","260","260","260","260","260","260","250","250","240","240","240","230","230","230","230","230","230","230","230","230","230","230","230","230","230","230","230","230","230","230","230","230","230","230","230","230","227.5","228.5","228.6","228.1","218","217.8","207.7","207.6","207.7","197.7","197.7","187.6","188.1","188","188.1","188.2","188.2","188.34","188.001","187.773","187.562","",
"Arab World","ARB","Agricultural land (sq. km)","AG.LND.AGRI.K2","","4217020","4217190","4220510","4222000","4225330","4226410","4233600","4237730","4245470","4254190","4272170","4287600","4287160","4294510","4291630","4301170","4304200","4310200","4311890","4322830","4281376","4284913.4","4291507.4","4347793.6","4415838","4495378","4571120","4653330","4722858","4778892","4785769","4807704.8","4913206.8","5002289.896","5088065.327","5169300.405","5238830.532","5321573.175","5393146.998","5397877.131","5400981.989","5410951.731","5436546.769","5443305.778","5451098.859","5460826.103","5467966.889","5459721.164","5460153","5465344.5","5467539.764","5212816.327","5219117.741","5218516.355","5223517.789","5232064.896","5238175.133","5236246.657","5228038.143","5236720.506","5236390.685","",
"United Arab Emirates","ARE","Agricultural land (sq. km)","AG.LND.AGRI.K2","","2080","2080","2080","2080","2090","2100","2100","2100","2100","2120","2120","2120","2130","2140","2150","2160","2170","2180","2190","2230","2270","2270","2320","2320","2350","2380","2380","2390","2390","2850","3100","3390","3550","3720","3830","3870","3950","3980","5160","5470","5620","5660","5540","5540","5570","5386","5326","5396","3879","3923","3885","3767","3794","3825","3828","3838","3838","3817.5","3904","3898","3915.615","",
"Argentina","ARG","Agricultural land (sq. km)","AG.LND.AGRI.K2","","1378290","1364340","1348750","1332970","1317800","1309480","1297030","1292350","1273820","1273830","1273830","1273830","1273830","1273830","1273830","1273830","1273830","1273830","1273830","1273830","1273830","1273840","1273850","1273840","1273840","1273840","1273840","1273800","1274700","1275650","1276600","1277550","1278500","1279480","1280450","1281420","1282350","1283300","1284120","1285100","1286060","1287100","1291033","1294966","1299209","1301389","1299684","1270469","1243284","1262679","1253184","1247419","1229374","1211889","1207394","1189899","1176404","1159577.597","1165577.597","1177577.597","1179577.597","",
