"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","109.82994512059","","","","","","","","","","94.78797638274","","","","","","","","","","","","","","","84.80002660546","","","","","","","",
"Africa Eastern and Southern","AFE","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14887305.2185174","","","","","","","","","","14875643.7611007","","","","","","","","","","","","","","","14859204.7054525","","","","","","","",
"Afghanistan","AFG","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","638857.392791","","","","","","","","","","637886.976376","","","","","","","","","","","","","","","636173.22915","","","","","","","",
"Africa Western and Central","AFW","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9020689.75943681","","","","","","","","","","9012554.63850303","","","","","","","","","","","","","","","8999951.33802472","","","","","","","",
"Angola","AGO","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1252431.28258673","","","","","","","","","","1251980.78860603","","","","","","","","","","","","","","","1250999.88327963","","","","","","","",
"Albania","ALB","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27562.434637504","","","","","","","","","","27369.240828851","","","","","","","","","","","","","","","27331.601606417","","","","","","","",
"Andorra","AND","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","422.389265753","","","","","","","","","","408.578825433","","","","","","","","","","","","","","","409.497133803","","","","","","","",
"Arab World","ARB","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12539093.1094917","","","","","","","","","","12526744.402023","","","","","","","","","","","","","","","12510108.6831157","","","","","","","",
"United Arab Emirates","ARE","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78435.57228203","","","","","","","","","","78110.12854791","","","","","","","","","","","","","","","77233.34084382","","","","","","","",
"Argentina","ARG","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2738252.0145505","","","","","","","","","","2736792.2863097","","","","","","","","","","","","","","","2735389.70194","","","","","","","",
"Armenia","ARM","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27389.5837834","","","","","","","","","","27377.107068","","","","","","","","","","","","","","","27342.2182948","","","","","","","",
"American Samoa","ASM","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","209.76923443393","","","","","","","","","","209.76923443393","","","","","","","","","","","","","","","198.24779876068","","","","","","","",
"Antigua and Barbuda","ATG","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","401.9387129547","","","","","","","","","","399.2531734023","","","","","","","","","","","","","","","396.3347800022","","","","","","","",
"Australia","AUS","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7652336.2884527","","","","","","","","","","7651569.2271841","","","","","","","","","","","","","","","7650418.0828306","","","","","","","",
"Austria","AUT","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80491.9823806","","","","","","","","","","80319.2499069","","","","","","","","","","","","","","","80030.8866097","","","","","","","",
"Azerbaijan","AZE","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82984.6087412","","","","","","","","","","82662.7770877","","","","","","","","","","","","","","","82218.6544872","","","","","","","",
"Burundi","BDI","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24622.4078107","","","","","","","","","","24469.9214557","","","","","","","","","","","","","","","24150.6268698","","","","","","","",
"Belgium","BEL","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23869.19811036","","","","","","","","","","23549.86834213","","","","","","","","","","","","","","","22780.524085324","","","","","","","",
"Benin","BEN","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","114682.337595141","","","","","","","","","","114283.425081278","","","","","","","","","","","","","","","113691.063931087","","","","","","","",
"Burkina Faso","BFA","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","274577.438034","","","","","","","","","","274305.232976","","","","","","","","","","","","","","","273918.351974","","","","","","","",
"Bangladesh","BGD","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90000.4742002","","","","","","","","","","85189.6422014","","","","","","","","","","","","","","","79328.8629048","","","","","","","",
"Bulgaria","BGR","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","108565.012018433","","","","","","","","","","108725.056536041","","","","","","","","","","","","","","","108913.942408435","","","","","","","",
"Bahrain","BHR","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","406.9126253721","","","","","","","","","","381.9793864071","","","","","","","","","","","","","","","335.7074179828","","","","","","","",
"Bahamas, The","BHS","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12322.850379542","","","","","","","","","","12305.717862321","","","","","","","","","","","","","","","12279.918467265","","","","","","","",
"Bosnia and Herzegovina","BIH","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49460.4299307638","","","","","","","","","","49307.1675414638","","","","","","","","","","","","","","","49134.6604809638","","","","","","","",
"Belarus","BLR","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","201159.128902","","","","","","","","","","201167.758391","","","","","","","","","","","","","","","201456.004546","","","","","","","",
"Belize","BLZ","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21764.14067368","","","","","","","","","","21734.26711476","","","","","","","","","","","","","","","21708.44766461","","","","","","","",
"Bermuda","BMU","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.90812477128","","","","","","","","","","28.17743114888","","","","","","","","","","","","","","","20.30314891892","","","","","","","",
"Bolivia","BOL","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1060064.62942","","","","","","","","","","1059774.87617","","","","","","","","","","","","","","","1059511.34857","","","","","","","",
"Brazil","BRA","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8396728.8708896","","","","","","","","","","8390315.2790604","","","","","","","","","","","","","","","8385496.4837053","","","","","","","",
"Barbados","BRB","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","275.50047302214","","","","","","","","","","261.3204526973","","","","","","","","","","","","","","","248.52732468443","","","","","","","",
"Brunei Darussalam","BRN","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5655.828889491","","","","","","","","","","5606.809622387","","","","","","","","","","","","","","","5571.881755803","","","","","","","",
"Bhutan","BTN","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39057.832598","","","","","","","","","","39054.9112103","","","","","","","","","","","","","","","39040.7289145","","","","","","","",
"Botswana","BWA","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","573202.228746","","","","","","","","","","573032.452071","","","","","","","","","","","","","","","572887.231384","","","","","","","",
"Central African Republic","CAF","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","622346.363691","","","","","","","","","","622262.059756","","","","","","","","","","","","","","","622165.080756","","","","","","","",
"Canada","CAN","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9199344.4195491","","","","","","","","","","9198346.025664","","","","","","","","","","","","","","","9197138.4731302","","","","","","","",
"Central Europe and the Baltics","CEB","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1084857.1124924","","","","","","","","","","1083617.89923813","","","","","","","","","","","","","","","1082563.83941029","","","","","","","",
"Switzerland","CHE","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35714.0851723","","","","","","","","","","35391.6221667","","","","","","","","","","","","","","","34763.5812741","","","","","","","",
"Channel Islands","CHI","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","724579.48211131","","","","","","","","","","724085.00515071","","","","","","","","","","","","","","","723594.53117039","","","","","","","",
"China","CHN","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8883612.4426381","","","","","","","","","","8809352.8551324","","","","","","","","","","","","","","","8723723.0597445","","","","","","","",
"Cote d'Ivoire","CIV","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","319242.16283389","","","","","","","","","","318672.32606869","","","","","","","","","","","","","","","318023.63117579","","","","","","","",
"Cameroon","CMR","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","464625.22875313","","","","","","","","","","464190.03949877","","","","","","","","","","","","","","","463837.31537222","","","","","","","",
