"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Bosnia and Herzegovina","BIH","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1316.158258267","","","","","","","","","","1469.420647608","","","","","","","","","","","","","","","1641.927708162","","","","","","","",
"Belarus","BLR","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3179.480134043","","","","","","","","","","3170.850644675","","","","","","","","","","","","","","","2882.604490276","","","","","","","",
"Belize","BLZ","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.2068537478","","","","","","","","","","97.0804126788","","","","","","","","","","","","","","","122.899862862001","","","","","","","",
"Bermuda","BMU","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.36227176549","","","","","","","","","","34.09296538802","","","","","","","","","","","","","","","41.96724761788","","","","","","","",
"Bolivia","BOL","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1214.23819343","","","","","","","","","","1503.991444238","","","","","","","","","","","","","","","1767.519043522","","","","","","","",
"Brazil","BRA","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34620.952425119","","","","","","","","","","41034.544256159","","","","","","","","","","","","","","","45853.339612948","","","","","","","",
"Barbados","BRB","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","160.61493280911","","","","","","","","","","174.79495313395","","","","","","","","","","","","","","","187.58808114682","","","","","","","",
"Brunei Darussalam","BRN","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","115.2252348347","","","","","","","","","","164.2445019451","","","","","","","","","","","","","","","199.17236852322","","","","","","","",
"Bhutan","BTN","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.49908491969","","","","","","","","","","14.42047259583","","","","","","","","","","","","","","","28.60276836902","","","","","","","",
"Botswana","BWA","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","489.3486319934","","","","","","","","","","659.12530727","","","","","","","","","","","","","","","804.345993534","","","","","","","",
"Central African Republic","CAF","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","354.0929459723","","","","","","","","","","438.3968809261","","","","","","","","","","","","","","","535.375880953","","","","","","","",
"Canada","CAN","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11777.1678717079","","","","","","","","","","12775.5617567098","","","","","","","","","","","","","","","13983.1142967339","","","","","","","",
"Central Europe and the Baltics","CEB","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34237.6448930341","","","","","","","","","","35476.8581468248","","","","","","","","","","","","","","","36530.9179760506","","","","","","","",
"Switzerland","CHE","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3066.311174795","","","","","","","","","","3388.774180366","","","","","","","","","","","","","","","4016.815073034","","","","","","","",
"Channel Islands","CHI","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2594.7194166335","","","","","","","","","","3089.1963772392","","","","","","","","","","","","","","","3579.6703573598","","","","","","","",
"China","CHN","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","362455.80240613","","","","","","","","","","436715.38991649","","","","","","","","","","","","","","","522345.1853048","","","","","","","",
"Cote d'Ivoire","CIV","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1763.4252376137","","","","","","","","","","2333.2620025317","","","","","","","","","","","","","","","2981.9568951999","","","","","","","",
"Cameroon","CMR","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1564.19766063064","","","","","","","","","","1999.38691517046","","","","","","","","","","","","","","","2352.11104215641","","","","","","","",
"Congo, Dem. Rep.","COD","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3519.05572167604","","","","","","","","","","4835.31119500824","","","","","","","","","","","","","","","7232.34541936721","","","","","","","",
"Congo, Rep.","COG","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","343.511781068176","","","","","","","","","","444.171267163362","","","","","","","","","","","","","","","420.2625750865","","","","","","","",
"Colombia","COL","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4018.9784971614","","","","","","","","","","4621.6506242638","","","","","","","","","","","","","","","5114.5584541567","","","","","","","",
"Comoros","COM","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.589861280211","","","","","","","","","","67.724593588121","","","","","","","","","","","","","","","142.53415404781","","","","","","","",
"Cabo Verde","CPV","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.22070506308","","","","","","","","","","54.82349151835","","","","","","","","","","","","","","","59.554326767999","","","","","","","",
"Costa Rica","CRI","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","963.9493329708","","","","","","","","","","1204.713390047","","","","","","","","","","","","","","","1475.94358331317","","","","","","","",
"Caribbean small states","CSS","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2285.07223791348","","","","","","","","","","2664.09646556637","","","","","","","","","","","","","","","3051.10718091291","","","","","","","",
"Cuba","CUB","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2455.196357536","","","","","","","","","","2749.245639152","","","","","","","","","","","","","","","3053.18468179","","","","","","","",
"Curacao","CUW","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","110.888002128329","","","","","","","","","","111.799224312409","","","","","","","","","","","","","","","118.118928362573","","","","","","","",
"Cayman Islands","CYM","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.039544197728","","","","","","","","","","27.61728553966","","","","","","","","","","","","","","","43.96772397219","","","","","","","",
"Cyprus","CYP","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","316.21280483177","","","","","","","","","","396.87767168529","","","","","","","","","","","","","","","518.98037655244","","","","","","","",
"Czechia","CZE","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3545.584422921","","","","","","","","","","3671.506244637","","","","","","","","","","","","","","","4023.3993128","","","","","","","",
"Germany","DEU","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34563.291164689","","","","","","","","","","36535.101513222","","","","","","","","","","","","","","","36996.443574016","","","","","","","",
"Djibouti","DJI","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.53196287717","","","","","","","","","","37.29893894311","","","","","","","","","","","","","","","51.25016233939","","","","","","","",
"Dominica","DMA","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.19067001625","","","","","","","","","","18.842637638535","","","","","","","","","","","","","","","20.999402631043","","","","","","","",
"Denmark","DNK","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017.3840957102","","","","","","","","","","2103.7653178079","","","","","","","","","","","","","","","2235.4865365007","","","","","","","",
"Dominican Republic","DOM","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1442.2313157003","","","","","","","","","","2007.750940419","","","","","","","","","","","","","","","2504.4863586839","","","","","","","",
"Algeria","DZA","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5850.9057641325","","","","","","","","","","7652.3558361744","","","","","","","","","","","","","","","9357.0997471495","","","","","","","",
"East Asia & Pacific (excluding high income)","EAP","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","461070.069821038","","","","","","","","","","563864.087806879","","","","","","","","","","","","","","","673788.15249636","","","","","","","",
"Early-demographic dividend","EAR","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","345302.456907568","","","","","","","","","","437778.697410025","","","","","","","","","","","","","","","564689.537802424","","","","","","","",
"East Asia & Pacific","EAS","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","539108.131832404","","","","","","","","","","647364.915590805","","","","","","","","","","","","","","","761927.287096338","","","","","","","",
"Europe & Central Asia (excluding high income)","ECA","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","117024.312623398","","","","","","","","","","125680.869888176","","","","","","","","","","","","","","","131300.190209548","","","","","","","",
"Europe & Central Asia","ECS","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","291322.406620266","","","","","","","","","","310468.473892774","","","","","","","","","","","","","","","327818.305609361","","","","","","","",
"Ecuador","ECU","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1623.3629532055","","","","","","","","","","1984.9157484311","","","","","","","","","","","","","","","2293.8454686048","","","","","","","",
"Egypt, Arab Rep.","EGY","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13257.800746638","","","","","","","","","","16023.085900475","","","","","","","","","","","","","","","18917.96115821","","","","","","","",
"Euro area","EMU","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","115114.783259574","","","","","","","","","","123482.288553758","","","","","","","","","","","","","","","131942.127373903","","","","","","","",
"Eritrea","ERI","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","187.49975158554","","","","","","","","","","234.86606434972","","","","","","","","","","","","","","","331.19181850798","","","","","","","",
"Spain","ESP","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12524.454030086","","","","","","","","","","13941.633079322","","","","","","","","","","","","","","","15655.069409499","","","","","","","",
"Estonia","EST","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","346.34631663069","","","","","","","","","","435.35259762988","","","","","","","","","","","","","","","449.97232757147","","","","","","","",
"Ethiopia","ETH","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2800.53822256","","","","","","","","","","3934.94802042","","","","","","","","","","","","","","","5760.6647148","","","","","","","",
"European Union","EUU","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","150458.877913395","","","","","","","","","","160018.479887393","","","","","","","","","","","","","","","169850.471512345","","","","","","","",
"Fragile and conflict affected situations","FCS","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73373.5912339294","","","","","","","","","","89737.024454058","","","","","","","","","","","","","","","113378.508646439","","","","","","","",
"Finland","FIN","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1995.7169364328","","","","","","","","","","2121.4971932498","","","","","","","","","","","","","","","2242.6594416467","","","","","","","",
"Fiji","FJI","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.44603655778","","","","","","","","","","83.80931876143","","","","","","","","","","","","","","","117.25678130726","","","","","","","",
"France","FRA","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19344.025341062","","","","","","","","","","20827.760948228","","","","","","","","","","","","","","","23030.660881956","","","","","","","",
"Faroe Islands","FRO","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.395958186124","","","","","","","","","","4.395958186124","","","","","","","","","","","","","","","7.519302931613","","","","","","","",
"Gabon","GAB","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","236.83329412357","","","","","","","","","","268.99227458646","","","","","","","","","","","","","","","311.59997007957","","","","","","","",
"United Kingdom","GBR","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21541.503078803","","","","","","","","","","21830.391507229","","","","","","","","","","","","","","","22675.976252161","","","","","","","",
