iso,region_dev,region_ar6_6,pop,pop_density,forest_pct,gdp,damage,damage_gdp_weighted,log_damage_gdp_weighted,log_damage_gdp_weighted_std,summer_vpd,pop_forest,hvi,log_vpd,log_pdforest,log_hvi,log_vpd_squared,log_vpd_std,log_pdforest_std,log_hvi_std,log_vpd_squared_std
AFG,ldc,APC,19262847.0,29.533825491007775,0.0185278199408184,6007188510.66862,507607120.4533937,8.44999486118832,2.1341658332255036,1.5203584742772787,30.27017721571071,78.51127042542029,0.6679999999999999,3.4101629775196516,4.363242186782468,-0.4034671052957908,11.629211533245696,1.7173862816409522,0.43716547848771864,1.6289535512233562,1.8528523694083348
ALB,developed,DEV,2970017.0,108.3947810218978,0.2840288321167883,10677324852.88222,493823977.7654103,4.624978490114105,1.5314717201674342,1.1483200339263828,14.707669824792834,33.298488564622865,0.27,2.6883691145123723,3.5055120075095507,-1.3093333196133918,7.227328495864037,0.31679193725190985,-0.09878710790311414,-0.057418500335482354,0.2175373738125928
ARG,developing,LAM,39398481.75,14.396399208532936,0.1165042442238616,369132785037.0717,977785160.9243872,0.3364885013240963,-1.0891913018806267,-0.46939509267563484,14.856472061004409,18.919334955931777,0.2534614361702127,2.6984355993334224,2.9401844126905,-1.3725435926899197,7.281554683749927,0.33632530048874676,-0.4520319789862527,-0.17509154763856408,0.23768259290422386
AUS,developed,DEV,19940797.416666668,2.5953333714787257,0.172161350856569,665182198131.5216,699277108.5947068,0.1393862321113995,-1.970506550874798,-1.0134242172170609,22.56451113623983,18.095890717813543,0.1005799549549548,3.1163783683573696,2.895684880336605,-2.296802295097089,9.71181413476574,1.14731623373714,-0.4798375057528046,-1.8957032886599816,1.140532507289592
BEN,ldc,AFR,10308730.0,91.42186945725436,0.3090768002837886,12517845123.931507,511605483.0668534,4.087009209666371,1.4078134579846344,1.0719867398021738,19.05661608275755,54.787114659159755,0.48,2.9474143422151036,4.003455032350534,-0.7339691748718671,8.687251304695291,0.8194524605068133,0.21235252375240676,1.0136867002178716,0.7599038204944896
BGR,developed,DEV,7523957.5,68.60281300127008,0.3324359944662081,48643741645.059975,270975493.70967805,0.4175410935938623,-0.8733723117651918,-0.3361716900556136,14.291871634195516,9.569318119892626,0.2399999999999999,2.659690958473439,2.258561951096929,-1.4271163552234791,7.073955994585361,0.26114382881789416,-0.8779436818283205,-0.2766848955947843,0.16055895136858483
BOL,developing,LAM,10411125.714285716,9.610565599820657,0.4875816490617293,23846120820.48902,666724142.4833282,3.924889193935205,1.3673381199913401,1.0470016249761898,11.41068197399673,9.715172077007884,0.3353662613981762,2.434549931947323,2.273688795190077,-1.0925320264888143,5.927033371144715,-0.17572778315262996,-0.8684916753447363,0.3461815409162152,-0.2655268280518824
BRA,developing,LAM,192634579.5,23.047541618111207,0.62972625488446,1236465114752.9907,33168816196.454765,1.806490118117476,0.5913858014092933,0.5680122269760279,10.836386511994377,9.81674008962438,0.2814999999999999,2.3829095928460715,2.284089100830145,-1.2676228310471525,5.678258127677831,-0.2759325238610109,-0.8619930457736342,0.020230275017021567,-0.3579477040087244
BRN,developing,APC,320152.0,60.74990512333966,0.759392789373814,4051142386.302119,3591000.0,0.0886416634513274,-2.423153289785971,-1.2928395676009568,6.4517836383655265,2.63199154441832,0.1989999999999999,1.8643566256748825,0.967740800888883,-1.6144504537551323,3.4758256276978337,-1.2821510445618436,-1.6845131027719027,-0.625428433078111,-1.1761591065877133
BTN,ldc,APC,570990.0,14.346482412060302,0.6522793969849247,399311199.5077599,6149000.0,1.5399017126441763,0.43171859143043906,0.4694508863412165,4.089457539959813,4.085932186965974,0.592,1.4084123304662477,1.4075498998470315,-0.5242486439292124,1.983625292609367,-2.1668814834783374,-1.4096984468335347,1.4041051046466033,-1.7305167675433433
