iso,year,ssp,region_dev,region_ar6_6,esm,pop,pop_density,forest_pct,gdp,gdppc,summer_vpd,pop_forest,hvi,log_vpd,log_pdforest,log_hvi
ARG,2030,ssp1,developing,LAM,MM,46799900.0,17.100913877713587,0.10400763952073491,1283308949881.0,27421.19,16.418907716700556,6.779490133412193,0.20614038899999998,2.798433580301309,1.913901897577652,-1.5791978418231227
ARG,2030,ssp1,developing,LAM,gfdl,46799900.0,17.100913877713587,0.10400763952073491,1283308949881.0,27421.19,14.2563616828796,6.76800971604849,0.20614038899999998,2.6572032409860027,1.912207057904028,-1.5791978418231227
ARG,2030,ssp1,developing,LAM,ipsl,46799900.0,17.100913877713587,0.10400763952073491,1283308949881.0,27421.19,17.020384164249243,6.754255726613999,0.20614038899999998,2.834411694238868,1.9101727842483671,-1.5791978418231227
ARG,2030,ssp1,developing,LAM,mpi,46799900.0,17.100913877713587,0.10400763952073491,1283308949881.0,27421.19,16.380112758471263,6.798598481668148,0.20614038899999998,2.796067962318889,1.9167164853170473,-1.5791978418231227
ARG,2030,ssp1,developing,LAM,mri,46799900.0,17.100913877713587,0.10400763952073491,1283308949881.0,27421.19,17.366655459957162,6.679834904649061,0.20614038899999998,2.85455201479679,1.8990932723852123,-1.5791978418231227
ARG,2030,ssp1,developing,LAM,ukesm,46799900.0,17.100913877713587,0.10400763952073491,1283308949881.0,27421.19,17.071024517945517,6.8967518380812685,0.20614038899999998,2.8373825536371435,1.931050552676875,-1.5791978418231227
ARG,2030,ssp2,developing,LAM,MM,47225800.0,17.256539834617733,0.10400763952073491,1204870418626.0,25512.97,16.42481867313428,8.546910847462208,0.22106554700000003,2.798793524628414,2.145569913283827,-1.5092960282267864
ARG,2030,ssp2,developing,LAM,gfdl,47225800.0,17.256539834617733,0.10400763952073491,1204870418626.0,25512.97,15.628418443433205,8.457352041601238,0.22106554700000003,2.749090952079652,2.135036127189369,-1.5092960282267864
ARG,2030,ssp2,developing,LAM,ipsl,47225800.0,17.256539834617733,0.10400763952073491,1204870418626.0,25512.97,16.12009533019709,8.51140481438799,0.22106554700000003,2.7800666508511376,2.1414070070445903,-1.5092960282267864
ARG,2030,ssp2,developing,LAM,mpi,47225800.0,17.256539834617733,0.10400763952073491,1204870418626.0,25512.97,16.742645134501792,8.513489661726087,0.22106554700000003,2.8179590653983193,2.141651924550707,-1.5092960282267864
ARG,2030,ssp2,developing,LAM,mri,47225800.0,17.256539834617733,0.10400763952073491,1204870418626.0,25512.97,17.85279070989569,8.51267733589106,0.22106554700000003,2.882159838302142,2.1415565036804964,-1.5092960282267864
ARG,2030,ssp2,developing,LAM,ukesm,47225800.0,17.256539834617733,0.10400763952073491,1204870418626.0,25512.97,15.780143747643615,8.739630383704663,0.22106554700000003,2.758752424865693,2.1678678985906563,-1.5092960282267864
ARG,2030,ssp3,developing,LAM,MM,47578000.0,17.385235448662435,0.10400763952073491,1143704228780.0,24038.51,15.889965176900644,9.399751715150348,0.266443667,2.765687789042173,2.240683275655882,-1.3225924382080467
ARG,2030,ssp3,developing,LAM,gfdl,47578000.0,17.385235448662435,0.10400763952073491,1143704228780.0,24038.51,15.532054795286584,9.325833383751842,0.266443667,2.742905939766017,2.232788332458986,-1.3225924382080467
